date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:19	15561/15561	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:33%20GMT	https://mbcenter.org/htm/meritbadges.php?mb=ecology	E:/mbcenter/mbcenter.org/htm/meritbadgesb57e.html	(from https://mbcenter.org/htm/mbgroup.php)
22:57:19	15133/15133	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:33%20GMT	https://mbcenter.org/htm/meritbadges.php?mb=soilandwaterconservation	E:/mbcenter/mbcenter.org/htm/meritbadgesce78.html	(from https://mbcenter.org/htm/mbgroup.php)
22:57:19	14271/14271	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:34%20GMT	https://mbcenter.org/htm/meritbadges.php?mb=treefarming	E:/mbcenter/mbcenter.org/htm/meritbadges2f94.html	(from https://mbcenter.org/htm/mbgroup.php)
22:57:20	14739/14739	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:34%20GMT	https://mbcenter.org/htm/meritbadges.php?mb=pigeonraising	E:/mbcenter/mbcenter.org/htm/meritbadges1139.html	(from https://mbcenter.org/htm/mbgroup.php)
22:57:21	87945/87945	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:53:10%20GMT	https://mbcenter.org/img/images/banner_120x60_1.gif	E:/mbcenter/mbcenter.org/img/images/banner_120x60_1.gif	(from https://mbcenter.org/htm/linkingtombcp.php)
22:57:21	53576/53576	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:53:10%20GMT	https://mbcenter.org/img/images/banner_120x60_2.gif	E:/mbcenter/mbcenter.org/img/images/banner_120x60_2.gif	(from https://mbcenter.org/htm/linkingtombcp.php)
22:57:21	16883/16883	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:53:07%20GMT	https://mbcenter.org/img/images/bannerad_120x240.gif	E:/mbcenter/mbcenter.org/img/images/bannerad_120x240.gif	(from https://mbcenter.org/htm/linkingtombcp.php)
22:57:22	10746/10746	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:53:08%20GMT	https://mbcenter.org/img/images/bannerad_125x125.gif	E:/mbcenter/mbcenter.org/img/images/bannerad_125x125.gif	(from https://mbcenter.org/htm/linkingtombcp.php)
22:57:22	36184/36184	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:53:08%20GMT	https://mbcenter.org/img/images/bannerad_120x240_2.gif	E:/mbcenter/mbcenter.org/img/images/bannerad_120x240_2.gif	(from https://mbcenter.org/htm/linkingtombcp.php)
22:57:22	34941/34941	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:53:08%20GMT	https://mbcenter.org/img/images/bannerad_125x125_2.gif	E:/mbcenter/mbcenter.org/img/images/bannerad_125x125_2.gif	(from https://mbcenter.org/htm/linkingtombcp.php)
22:57:22	10846/10846	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:53:08%20GMT	https://mbcenter.org/img/images/bannerad_468x60.gif	E:/mbcenter/mbcenter.org/img/images/bannerad_468x60.gif	(from https://mbcenter.org/htm/linkingtombcp.php)
22:57:23	88813/88813	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:37%20GMT	https://mbcenter.org/htm/resources.php	E:/mbcenter/mbcenter.org/htm/resources.html	(from https://mbcenter.org/htm/submitasite.php)
22:57:23	92891/92891	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:53:09%20GMT	https://mbcenter.org/img/images/bannerad_468x60_2.gif	E:/mbcenter/mbcenter.org/img/images/bannerad_468x60_2.gif	(from https://mbcenter.org/htm/linkingtombcp.php)
22:57:23	881/881	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:37%20GMT	https://mbcenter.org/htm/rnkprintable.php?rnk=bsmembership	E:/mbcenter/mbcenter.org/htm/rnkprintablebd3e.html	(from https://mbcenter.org/htm/ranks.php?rnk=bsmembership)
22:57:24	881/881	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:38%20GMT	https://mbcenter.org/htm/rnkprintable.php?rnk=bstenderfoot	E:/mbcenter/mbcenter.org/htm/rnkprintable530b.html	(from https://mbcenter.org/htm/ranks.php?rnk=bstenderfoot)
22:57:24	881/881	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:38%20GMT	https://mbcenter.org/htm/rnkprintable.php?rnk=bssecondclass	E:/mbcenter/mbcenter.org/htm/rnkprintablefae8.html	(from https://mbcenter.org/htm/ranks.php?rnk=bssecondclass)
22:57:24	881/881	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:38%20GMT	https://mbcenter.org/htm/rnkprintable.php?rnk=bsfirstclass	E:/mbcenter/mbcenter.org/htm/rnkprintabledcec.html	(from https://mbcenter.org/htm/ranks.php?rnk=bsfirstclass)
22:57:24	881/881	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:39%20GMT	https://mbcenter.org/htm/rnkprintable.php?rnk=ssmembership	E:/mbcenter/mbcenter.org/htm/rnkprintable3d5a.html	(from https://mbcenter.org/htm/ranks.php?rnk=ssmembership)
22:57:25	881/881	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:39%20GMT	https://mbcenter.org/htm/rnkprintable.php?rnk=ssexplorer	E:/mbcenter/mbcenter.org/htm/rnkprintable48ab.html	(from https://mbcenter.org/htm/ranks.php?rnk=ssexplorer)
22:57:25	881/881	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:39%20GMT	https://mbcenter.org/htm/rnkprintable.php?rnk=sspathfinder	E:/mbcenter/mbcenter.org/htm/rnkprintableb58e.html	(from https://mbcenter.org/htm/ranks.php?rnk=sspathfinder)
22:57:25	881/881	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:40%20GMT	https://mbcenter.org/htm/rnkprintable.php?rnk=advoutdoorsman	E:/mbcenter/mbcenter.org/htm/rnkprintablecfc3.html	(from https://mbcenter.org/htm/ranks.php?rnk=advoutdoorsman)
22:57:26	881/881	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:40%20GMT	https://mbcenter.org/htm/rnkprintable.php?rnk=advventurer	E:/mbcenter/mbcenter.org/htm/rnkprintable8fb8.html	(from https://mbcenter.org/htm/ranks.php?rnk=advventurer)
22:57:26	881/881	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:40%20GMT	https://mbcenter.org/htm/rnkprintable.php?rnk=adveagle	E:/mbcenter/mbcenter.org/htm/rnkprintable7c89.html	(from https://mbcenter.org/htm/ranks.php?rnk=adveagle)
22:57:26	3855/3855	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:41%20GMT	https://mbcenter.org/htm/mbprintable.php?mb=worldbrotherhood	E:/mbcenter/mbcenter.org/htm/mbprintable556a.html	(from https://mbcenter.org/htm/meritbadges.php?req=y&mb=worldbrotherhood)
22:57:27	11965/11965	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Aug%202025%2022:56:23%20GMT	https://mbcenter.org/mbimagespng/worldbrotherhood.png	E:/mbcenter/mbcenter.org/mbimagespng/worldbrotherhood.png	(from https://mbcenter.org/htm/meritbadges.php?req=y&mb=worldbrotherhood)
22:57:27	12473/12473	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:42%20GMT	https://mbcenter.org/pub/ws.php	E:/mbcenter/mbcenter.org/pub/ws.html	(from https://mbcenter.org/htm/resources.php)
22:57:28	91418/91418	---M--	200	added ('OK')	application/pdf	date:Sun,%2017%20Aug%202025%2022:57:32%20GMT	https://mbcenter.org/pub/pdf/notes_ideals.pdf	E:/mbcenter/mbcenter.org/pub/pdf/notes_ideals.pdf	(from https://mbcenter.org/htm/resources.php)
22:57:29	161537/161537	---M--	200	added ('OK')	application/pdf	date:Sun,%2017%20Aug%202025%2022:57:30%20GMT	https://mbcenter.org/pub/pdf/notes_flag101.pdf	E:/mbcenter/mbcenter.org/pub/pdf/notes_flag101.pdf	(from https://mbcenter.org/htm/resources.php)
22:57:30	188528/188528	---M--	200	added ('OK')	application/pdf	date:Sun,%2017%20Aug%202025%2022:57:28%20GMT	https://mbcenter.org/pub/pdf/notes_compass.pdf	E:/mbcenter/mbcenter.org/pub/pdf/notes_compass.pdf	(from https://mbcenter.org/htm/resources.php)
22:57:30	159341/159341	---M--	200	added ('OK')	application/pdf	date:Sun,%2017%20Aug%202025%2022:57:28%20GMT	https://mbcenter.org/pub/pdf/notes_estimation.pdf	E:/mbcenter/mbcenter.org/pub/pdf/notes_estimation.pdf	(from https://mbcenter.org/htm/resources.php)
22:57:31	89932/89932	---M--	200	added ('OK')	application/pdf	date:Sun,%2017%20Aug%202025%2022:57:34%20GMT	https://mbcenter.org/pub/pdf/notes_morsecode.pdf	E:/mbcenter/mbcenter.org/pub/pdf/notes_morsecode.pdf	(from https://mbcenter.org/htm/resources.php)
22:57:31	108603/108603	---M--	200	added ('OK')	application/pdf	date:Sun,%2017%20Aug%202025%2022:57:34%20GMT	https://mbcenter.org/pub/pdf/notes_northwocompass.pdf	E:/mbcenter/mbcenter.org/pub/pdf/notes_northwocompass.pdf	(from https://mbcenter.org/htm/resources.php)
22:57:31	302438/302438	---M--	200	added ('OK')	application/pdf	date:Sun,%2017%20Aug%202025%2022:57:30%20GMT	https://mbcenter.org/pub/pdf/notes_firstaid.pdf	E:/mbcenter/mbcenter.org/pub/pdf/notes_firstaid.pdf	(from https://mbcenter.org/htm/resources.php)
22:57:31	378517/378517	---M--	200	added ('OK')	application/pdf	date:Sun,%2017%20Aug%202025%2022:57:21%20GMT	https://mbcenter.org/pub/pdf/ll_foodsafety.pdf	E:/mbcenter/mbcenter.org/pub/pdf/ll_foodsafety.pdf	(from https://mbcenter.org/htm/resources.php)
22:57:31	74616/74616	---M--	200	added ('OK')	application/pdf	date:Sun,%2017%20Aug%202025%2022:57:44%20GMT	https://mbcenter.org/pub/pdf/proposal_wwwmb.pdf	E:/mbcenter/mbcenter.org/pub/pdf/proposal_wwwmb.pdf	(from https://mbcenter.org/htm/resources.php)
22:57:32	8826/8826	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Aug%202025%2022:54:45%20GMT	https://mbcenter.org/mbbwimages/worldbrotherhood.jpg	E:/mbcenter/mbcenter.org/mbbwimages/worldbrotherhood.jpg	(from https://mbcenter.org/htm/mbprintable.php?mb=worldbrotherhood)
22:57:32	543/543	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2017%20Aug%202025%2023:01:18%20GMT	https://mbcenter.org/script/genscripts.js	E:/mbcenter/mbcenter.org/script/genscripts.js	(from https://mbcenter.org/pub/ws.php)
22:57:32	43/43	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:52:42%20GMT	https://mbcenter.org/img/banner/spacer.gif	E:/mbcenter/mbcenter.org/img/banner/spacer.gif	(from https://mbcenter.org/pub/ws.php)
22:57:33	4837/4837	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:52:40%20GMT	https://mbcenter.org/img/banner/banner20050421_r1_c1.gif	E:/mbcenter/mbcenter.org/img/banner/banner20050421_r1_c1.gif	(from https://mbcenter.org/pub/ws.php)
22:57:33	719/719	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:52:41%20GMT	https://mbcenter.org/img/banner/banner20050421_r1_c2.gif	E:/mbcenter/mbcenter.org/img/banner/banner20050421_r1_c2.gif	(from https://mbcenter.org/pub/ws.php)
22:57:33	4028/4028	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:52:41%20GMT	https://mbcenter.org/img/banner/banner20050421_r1_c3.gif	E:/mbcenter/mbcenter.org/img/banner/banner20050421_r1_c3.gif	(from https://mbcenter.org/pub/ws.php)
22:57:33	5352/5352	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:52:41%20GMT	https://mbcenter.org/img/banner/banner20050421_r2_c1.gif	E:/mbcenter/mbcenter.org/img/banner/banner20050421_r2_c1.gif	(from https://mbcenter.org/pub/ws.php)
22:57:34	1561/1561	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:52:41%20GMT	https://mbcenter.org/img/banner/banner20050421_r2_c2.gif	E:/mbcenter/mbcenter.org/img/banner/banner20050421_r2_c2.gif	(from https://mbcenter.org/pub/ws.php)
22:57:34	3334/3334	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:52:41%20GMT	https://mbcenter.org/img/banner/banner20050421_r3_c1.gif	E:/mbcenter/mbcenter.org/img/banner/banner20050421_r3_c1.gif	(from https://mbcenter.org/pub/ws.php)
22:57:34	2810/2810	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:52:41%20GMT	https://mbcenter.org/img/banner/banner20050421_r3_c2.gif	E:/mbcenter/mbcenter.org/img/banner/banner20050421_r3_c2.gif	(from https://mbcenter.org/pub/ws.php)
22:57:35	4006/4006	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Aug%202025%2022:52:42%20GMT	https://mbcenter.org/img/banner/banner20050421_r3_c3.gif	E:/mbcenter/mbcenter.org/img/banner/banner20050421_r3_c3.gif	(from https://mbcenter.org/pub/ws.php)
22:57:35	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:49%20GMT	https://mbcenter.org/welcomepage.php	E:/mbcenter/mbcenter.org/welcomepage.php	(from https://mbcenter.org/pub/ws.php)
22:57:35	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:49%20GMT	https://mbcenter.org/advancement.php	E:/mbcenter/mbcenter.org/advancement.php	(from https://mbcenter.org/pub/ws.php)
22:57:35	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:50%20GMT	https://mbcenter.org/awards.php	E:/mbcenter/mbcenter.org/awards.php	(from https://mbcenter.org/pub/ws.php)
22:57:36	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:50%20GMT	https://mbcenter.org/meritbadgelist.php	E:/mbcenter/mbcenter.org/meritbadgelist.php	(from https://mbcenter.org/pub/ws.php)
22:57:36	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:50%20GMT	https://mbcenter.org/mbeaglerequired.php	E:/mbcenter/mbcenter.org/mbeaglerequired.php	(from https://mbcenter.org/pub/ws.php)
22:57:36	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:51%20GMT	https://mbcenter.org/specialist.php	E:/mbcenter/mbcenter.org/specialist.php	(from https://mbcenter.org/pub/ws.php)
22:57:37	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:51%20GMT	https://mbcenter.org/mbgroup.php	E:/mbcenter/mbcenter.org/mbgroup.php	(from https://mbcenter.org/pub/ws.php)
22:57:37	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:51%20GMT	https://mbcenter.org/woodbadge/index.php	E:/mbcenter/mbcenter.org/woodbadge/index.php	(from https://mbcenter.org/pub/ws.php)
22:57:37	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:51%20GMT	https://mbcenter.org/forms.php	E:/mbcenter/mbcenter.org/forms.php	(from https://mbcenter.org/pub/ws.php)
22:57:38	17289/17289	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:52%20GMT	https://mbcenter.org/pub/index.php	E:/mbcenter/mbcenter.org/pub/index.html	(from https://mbcenter.org/pub/ws.php)
22:57:38	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:52%20GMT	https://mbcenter.org/downloads.php	E:/mbcenter/mbcenter.org/downloads.php	(from https://mbcenter.org/pub/ws.php)
22:57:38	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:52%20GMT	https://mbcenter.org/mbcplinks.php	E:/mbcenter/mbcenter.org/mbcplinks.php	(from https://mbcenter.org/pub/ws.php)
22:57:38	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:53%20GMT	https://mbcenter.org/submitasite.php	E:/mbcenter/mbcenter.org/submitasite.php	(from https://mbcenter.org/pub/ws.php)
22:57:39	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:53%20GMT	https://mbcenter.org/contactus.php	E:/mbcenter/mbcenter.org/contactus.php	(from https://mbcenter.org/pub/ws.php)
22:57:39	9516/9516	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:53%20GMT	https://mbcenter.org/pub/html/sitehelp.php	E:/mbcenter/mbcenter.org/pub/html/sitehelp.html	(from https://mbcenter.org/pub/ws.php)
22:57:39	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2014:57:54%20GMT	https://mbcenter.org/images/ico_adobeacrobat.gif	E:/mbcenter/mbcenter.org/images/ico_adobeacrobat.gif	(from https://mbcenter.org/pub/ws.php)
22:57:40	19613/19613	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202025%2014:57:54%20GMT	https://mbcenter.org/pub/html/mbcpterms.php	E:/mbcenter/mbcenter.org/pub/html/mbcpterms.html	(from https://mbcenter.org/pub/ws.php)
